league,season,team,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,nextSeason
ITA-Serie A,2017,Napoli,23,38.0,599,407,208,308,83,221,581,38.0,360,403,67,336,341,940,565,16,/en/squads/d48ad4ff/2017-2018/Napoli-Stats,2018
ITA-Serie A,2017,Roma,27,38.0,548,384,251,212,85,183,470,38.9,287,320,104,216,477,1025,821,19,/en/squads/cf74a709/2017-2018/Roma-Stats,2018
ITA-Serie A,2017,SPAL,29,38.0,586,414,308,217,61,209,539,38.8,330,389,145,244,527,1113,1111,11,/en/squads/1d2fe027/2017-2018/SPAL-Stats,2018
ITA-Serie A,2017,Sampdoria,27,38.0,624,423,254,274,96,223,600,37.2,377,505,117,388,335,959,856,25,/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats,2018
ITA-Serie A,2017,Sassuolo,28,38.0,568,375,294,208,66,204,594,34.3,390,396,98,298,506,1074,1085,16,/en/squads/e2befd26/2017-2018/Sassuolo-Stats,2018
ITA-Serie A,2017,Torino,27,38.0,609,405,295,256,58,182,465,39.1,283,380,112,268,421,1030,960,15,/en/squads/105360fe/2017-2018/Torino-Stats,2018
ITA-Serie A,2017,Udinese,27,38.0,618,415,321,240,57,224,565,39.6,341,482,154,328,459,1077,992,13,/en/squads/04eea015/2017-2018/Udinese-Stats,2018
ITA-Serie A,2018,Atalanta,27,38.0,638,397,278,277,83,269,577,46.6,308,433,96,337,454,1092,675,10,/en/squads/922493f3/2018-2019/Atalanta-Stats,2019
ITA-Serie A,2018,Bologna,29,38.0,689,430,365,252,72,262,631,41.5,369,463,142,321,372,1061,863,17,/en/squads/1d8099f8/2018-2019/Bologna-Stats,2019
ITA-Serie A,2018,Cagliari,30,38.0,603,388,259,249,95,211,524,40.3,313,449,126,323,344,947,837,4,/en/squads/c4260e09/2018-2019/Cagliari-Stats,2019
ITA-Serie A,2018,Chievo,36,38.0,623,374,320,243,60,252,605,41.7,353,421,132,289,471,1094,988,18,/en/squads/cc919b35/2018-2019/Chievo-Stats,2019
ITA-Serie A,2018,Empoli,29,38.0,552,328,257,223,72,216,510,42.4,294,353,133,220,333,885,797,10,/en/squads/a3d88bd8/2018-2019/Empoli-Stats,2019
ITA-Serie A,2018,Fiorentina,27,38.0,592,371,272,238,82,199,470,42.3,271,401,130,271,413,1005,887,11,/en/squads/421387cf/2018-2019/Fiorentina-Stats,2019
ITA-Serie A,2018,Frosinone,33,38.0,571,353,303,204,64,213,530,40.2,317,416,151,265,384,955,918,12,/en/squads/6a7ad59d/2018-2019/Frosinone-Stats,2019
